title,Affected country,type,link,description
Chad: Floods - Aug 2024,Chad,Flood,https://reliefweb.int/disaster/fl-2024-000139-tcd,"The humanitarian impact of the widespread flooding caused by rainfall and strong winds that has been affecting central and south-western Chad since mid-May is increasing. According to the UN Office for the Coordination of Humanitarian Affairs (OCHA), as of 7 August, at least 40 people died and more than 112,413 people have been affected by flooding in 13 provinces, including 71,000 in Sila, 18,000 in Logone Oriental, 8,400 in Logone Occidental, 3,900 in Chari Baguirmi, and at least 1,356 in N'Djamena city (south-western Chad). In addition, 6,799 houses have been damaged. On 9-10 August, more rainfall is forecast over central and southern Chad, with locally very heavy rainfall in the western part of the country. (ECHO, 9 Aug 2024)"
Sudan: Floods - Jul 2024,Sudan,Flash Flood,https://reliefweb.int/disaster/fl-2024-000128-sdn,"Initial reports indicate that an estimated 10,180 people, most of whom are newly arrived IDPs from Sennar State, have been affected by recent heavy rains and flooding in Kassala State. [...] Heavy rains and flooding have also affected an unspecified number of people and homes in Aroma, Shamal Al Delta, Reifi Kassala, and Gharb Kassala localities. [...] Floodwater reportedly submerged tents and water and sanitation (WASH) facilities, as well as roads. The majority of the affected IDPs have been forced to live in the open on the roadsides and they do not have access to food, clean drinking water, or safe sanitation facilities amid heightened concerns of a possible spike in water-borne diseases. (OCHA, 28 Jul 2024)"
Typhoon Gaemi - Jul 2024,Philippines,Tropical Cyclone,https://reliefweb.int/disaster/tc-2024-000127-chn,"On 24 July, the combined effects of the Southwest Monsoon, enhanced by Tropical Cyclone Gaemi(local name: Carina), brought heavy to intense rains across the Philippines. Northern Luzon, particularly the provinces of Cagayan, Isabela, and Ilocos Norte, experienced severe impacts, while Central Luzon provinces Pampanga, Tarlac, and Nueva Ecija faced severe flooding and power outages. In Metro Manila, home to 13.5 million people, heavy rainfall caused urban flooding, road closures, and significant disruptions. By 10am local time, the water level in the Marikina River surpassed 18 meters, triggering mandatory evacuation of numerous families, with water levels reaching over 20.7 meters by 7pm. In one area in Quezon City, it was recorded that 458 mm of rain fell within a 24-hour period. In comparison, during Typhoon Ondoy in September 2009, the recorded rainfall over the same duration was 455 mm. Tropical cyclone Gaemi, which has intensified into a Super Typhoon, is expected to make landfall over northern Taiwan before exitingthe Philippine Area of Responsibility by noon on 25 July. Moderate to intense rainfall is still expected to continue over the western portion of Luzon until 26 July according to the Philippines weather agency PAGASA.  (OCHA, 24 Jul 2024)"
Ethiopia: Landslides - Jul 2024,Ethiopia,Land Slide,https://reliefweb.int/disaster/ls-2024-000125-eth,"Heavy rains on 21 and 22 July caused three successive landslide incidents in a mountainous area in Gezei Gofa Woreda of Gofa Zone, South Ethiopia Region, according to local authorities. At least 157 people have reportedly died and more than 14,000 people affected, including 6,750 people in Koncho Gozji Kebele and 7,765 people in Koncho Wiza Kebele as of the morning hours of 23 July. [...] Search and rescue operations are ongoing, under the leadership of local authorities with the support from the Ethiopian Red Cross and community members. The death toll is expected to rise, according to local authorities. A similar, but lower-scale landslide incident had occurred in May 2024 in the same area, where more than 50 people had died. Weather extremes, such as floods and droughts, have been major drivers of humanitarian needs in Ethiopia. The scale of the impact of the incident, including displacement and damages to livelihoods, will be further clarified once the planned multi-agency assessment is completed. (OCHA, 23 Jul 2024)"
Guatemala: Floods - Jul 2024,Guatemala,Flood,https://reliefweb.int/disaster/fl-2024-000122-gtm,"Following the heavy rainfall due to the rainy season that has been affecting several departments of Guatemala since June, the humanitarian impact is increasing. As of 18 July, the National Coordination for Disaster Reduction of Guatemala (CONRED) reports 18 fatalities across eight departments, including three in San Marcos, three in Jutiapa and three in Sacatepéquez, 13 injured people, 18,269 evacuated people, of whom 713 in evacuation centres. In addition, 6,897 houses have been damaged, 358 houses have been severely damaged, five bridges have been destroyed and 40 have been affected. (ECHO, 18 Jul 2024)"
India: Floods and Landslides - Jul 2024,India,Flood,https://reliefweb.int/disaster/fl-2024-000109-ind,"Indian Meteorological Department (IMD) issues active monsoon warning with heavy to very heavy rainfall warning over Northwest, East & Northeast India during next 4- 5 days. In Assam, as per the Assam State Disaster Management Authority (ASDMA) report, major river Brahmaputra is flowing above the flood level due to heavy rain. 19 districts are affected with floods, with more than 640,000 population affected. ASDMA has opened 72 relief camps and 64 centers and managing the immediate needs. (ECHO, 2 Jul 2024)"
Myanmar: Floods - Jul 2024,Myanmar,Flood,https://reliefweb.int/disaster/fl-2024-000104-mmr,"Since 30 June, continuous heavy rain and swollen rivers have caused flash floods in Kachin State, impacting several townships, including the state capital, Myitkyina. In Bhamo Township, approximately 3,500 people have been displaced to nine evacuation sites. In Sumprabum Township, riverbank collapses have destroyed houses, water erosion has damaged parts of the road, and landslides have affected the road between Myitkyina and Puta-O. The flood-affected population has received food, water, and other assistance from the de facto authorities and partners. On 5 July, partners conducted a rapid needs assessment at 26 sites. (OCHA, 9 Jul 2024)"
Hurricane Beryl - Jun 2024,St. Vincent & Grenadines,Tropical Cyclone,https://reliefweb.int/disaster/tc-2024-000105-vct,"Tropical cyclone Beryl has become a major hurricane forecast to bring life-threatening winds and storm surge to the Caribbean, according to the National Hurricane Center. The hurricane headed toward the Windward Islands (Saint Lucia, Saint Vincent and the Grenadines, Grenada and Martinique). On 29 June evening, Beryl was about 960 km/h east-southeast of Barbados with maximum sustained winds of near 136 km/h, moving west at around 30 km/h. Maximum sustained winds of 129 – 177 km/h or greater, rainfall accumulations of 100 to 150mm, very rough and hazardous marine conditions and storm surges are expected across St. Vincent and the Grenadines, with possible higher winds offshore. Large and destructive waves/swells are likely to cause life-threatening surf and rip currents. The government of St Vincent and the Grenadines has urged the population to gather emergency supplies. Shelters are to be accessible by 6 p.m. local time today. Volunteers are active in their various communities, checking the vulnerable population and assisting families preparing for the event. (ECHO, 30 Jun 2024)"
Togo: Dengue Outbreak - Jun 2024,Togo,Epidemic,https://reliefweb.int/disaster/ep-2024-000136-tgo,"On 27 June 2024, the Ministry of Health of Togo declared a dengue outbreak. From week 1 to week 19, 2024, sporadic dengue cases were reported in Togo. Starting from week 20, a gradual increase was observed, peaking at 273 cases in week 26. From week 1 to week 27, 2024, 823 cases were reported, including 395 confirmed and 428 suspected cases. Of these, 806 cases (97.9%) were reported from week 20 onwards, with only 2.1% occurring between week 1 and week 19. The Grand Lomé region is the most affected, with 773 suspected cases (93.9%), including 365 confirmed cases (92.4%). Other regions reporting cases in 2024 include Savanes (14 suspected, 7 confirmed), Maritime (11 suspected, 8 confirmed), Plateaux (8 suspected, 3 confirmed), and Kara (6 suspected, 4 confirmed). Information on the region of residence for 11 cases is unknown. The 15-year-old age group accounts for 751 cases (91.3%), including 358 confirmed cases (90.6%). Children aged 1-4 have 17 suspected and four confirmed cases; those aged 5-9 have 34 suspected and 10 confirmed cases; and those aged 10-14 have 41 suspected and 16 confirmed cases. Males account for 60.6% (499 cases) of all cases and 59.7% (236 cases) of confirmed cases. Among the 395 confirmed cases, three deaths were recorded: two in the Golfe and one in Agoè Nyivé districts. (WHO, 14 Jul 2024)"
Bangladesh: Floods and Landslides - Jun 2024,Bangladesh,Flash Flood,https://reliefweb.int/disaster/fl-2024-000088-bgd,"On 18 and 19 June, heavy monsoon rainfall impacted the refugee camps in Cox’s Bazar, southeastern Bangladesh causing flash floods and 773 landslides incidents, resulting in casualties and damage. According to humanitarian partners, as of 19 June, 10 people died, including at least seven Rohingya refugees, almost 8,000 people have been affected across 33 camps in Cox’s Bazar and also around 1,200 shelters. Rising water and mudslides have damaged learning centers, health facilities, mosques, latrines, water points and bathing cubicles. Flooding from heavy rains has also affected 1.6 million people in other parts of the country. Nearly 30,000 people moved to shelter centres while many families were seen wandering in northeastern Bangladesh. Only in Sylhet district, almost 75 percent of areas, including 23 wards of the city and 1,548 villages in 13 Upazilas, have been flooded, directly affecting over 825,000 people. In Sunamganj district, flooding affected 560,000 people. (ECHO, 20 Jun 2024)"
